FF times,LED times
"(2.485895679463106, 0.0)","(2.485895679463106, 1.0)"
"(2.502579543083664, 0.0)","(2.502579543083664, 1.0)"
"(2.519263406704221, 0.0)","(2.519263406704221, 1.0)"
"(2.535947270324779, 0.0)","(2.535947270324779, 1.0)"
"(2.552631133945337, 0.0)","(2.552631133945337, 1.0)"
"(2.5693149975658947, 0.0)","(2.5693149975658947, 1.0)"
"(2.5859988611864524, 0.0)","(2.5859988611864524, 1.0)"
"(2.60268272480701, 0.0)","(2.60268272480701, 1.0)"
"(2.619366588427568, 0.0)","(2.619366588427568, 1.0)"
"(2.6360504520481256, 0.0)","(2.6360504520481256, 1.0)"
"(2.652734315668684, 0.0)","(2.652734315668684, 1.0)"
"(2.669418179289241, 0.0)","(2.669418179289241, 1.0)"
"(2.6861020429097997, 0.0)","(2.6861020429097997, 1.0)"
"(2.702785906530357, 0.0)","(2.702785906530357, 1.0)"
"(2.7194697701509147, 0.0)","(2.7194697701509147, 1.0)"
"(2.7361536337714725, 0.0)","(2.7361536337714725, 1.0)"
"(2.75283749739203, 0.0)","(2.75283749739203, 1.0)"
"(2.769521361012588, 0.0)","(2.769521361012588, 1.0)"
"(2.7862052246331457, 0.0)","(2.7862052246331457, 1.0)"
"(2.8028890882537034, 0.0)","(2.8028890882537034, 1.0)"
"(2.819572951874261, 0.0)","(2.819572951874261, 1.0)"
"(2.836256815494819, 0.0)","(2.836256815494819, 1.0)"
"(2.8529406791153766, 0.0)","(2.8529406791153766, 1.0)"
"(2.8696245427359344, 0.0)","(2.8696245427359344, 1.0)"
"(2.886308406356492, 0.0)","(2.886308406356492, 1.0)"
"(2.90299226997705, 0.0)","(2.90299226997705, 1.0)"
"(2.919676133597608, 0.0)","(2.919676133597608, 1.0)"
"(2.9363599972181653, 0.0)","(2.9363599972181653, 1.0)"
"(2.953043860838723, 0.0)","(2.953043860838723, 1.0)"
"(2.969727724459281, 0.0)","(2.969727724459281, 1.0)"
"(2.9864115880798385, 0.0)","(2.9864115880798385, 1.0)"
"(3.0030954517003967, 0.0)","(3.0030954517003967, 1.0)"
"(3.0197793153209544, 0.0)","(3.0197793153209544, 1.0)"
"(3.036463178941512, 0.0)","(3.036463178941512, 1.0)"
"(3.05314704256207, 0.0)","(3.05314704256207, 1.0)"
"(3.069830906182628, 0.0)","(3.069830906182628, 1.0)"
"(3.0865147698031854, 0.0)","(3.0865147698031854, 1.0)"
"(3.103198633423743, 0.0)","(3.103198633423743, 1.0)"
"(3.119882497044301, 0.0)","(3.119882497044301, 1.0)"
"(3.1365663606648586, 0.0)","(3.1365663606648586, 1.0)"
"(3.1532502242854163, 0.0)","(3.1532502242854163, 1.0)"
"(3.169934087905974, 0.0)","(3.169934087905974, 1.0)"
"(3.186617951526532, 0.0)","(3.186617951526532, 1.0)"
"(3.2033018151470896, 0.0)","(3.2033018151470896, 1.0)"
"(3.2199856787676477, 1.0)","(3.2199856787676477, 1.0)"
"(3.236669542388205, 0.0)","(3.236669542388205, 1.0)"
"(3.2533534060087628, 0.0)","(3.2533534060087628, 1.0)"
"(3.2700372696293205, 0.0)","(3.2700372696293205, 1.0)"
